Experiment;Depth;sample_date;time_years;ambient_CO2_n;increased_CO2_n
ArizonaFACE_wheat _high_N;0-15 cm;Nov 95;0;1344;1228
ArizonaFACE_wheat _high_N;0-15 cm;may 1996;0.5;1363;1305
ArizonaFACE_wheat _high_N;0-15 cm;dec. 1996;1;1254;1264
ArizonaFACE_wheat _high_N;0-15 cm;may 1997;1.5;1258;1400
Biosphere_2;0-25 cm;average 1999;0;5950;6362
Biosphere_3;0-25 cm;average 2000;1;5254;4735
Biosphere_4;0-25 cm;average 2001;2;6084;4785
Biosphere_5;0-25 cm;average 2002;3;5470;4064
Biosphere_6;0-25 cm;average 2003;4;5335;4220
China_FACE_low_N;0-15 cm;mar. 2008;3.66;1937;2192
China_FACE_low_N;0-15 cm;Jun 08;4;1937;2123
China_FACE_high_N;0-15 cm;mar. 2008;3.66;1926;2135
China_FACE_high_N;0-15 cm;Jun 08;4;1937;2105
China_OTC_low_N;0-20 cm;Jul 05;0.33;1103;1168
China_OTC_low_N;0-20 cm;Nov 05;0.67;1036;1097
China_OTC_low_N;0-20 cm;Apr 06;1;1936;2385
China_OTC_low_N;0-20 cm;Aug 06;1.33;2319;2218
China_OTC_low_N;0-20 cm;Nov 06;1.66;2060;2051
China_OTC_low_N;0-20 cm;Apr 07;2;2431;2301
China_OTC_low_N;0-20 cm;Aug 07;2.33;2263;2361
China_OTC_low_N;0-20 cm;Nov 07;2.66;2116;2158
China_OTC_low_N;0-20 cm;Apr 08;3;3625;3315
China_OTC_low_N;0-20 cm;Aug 08;3.33;3253;3279
China_OTC_low_N;0-20 cm;Nov 08;3.66;3287;3410
China_OTC_high_N;0-20 cm;Jul 05;0.33;1201;1198
China_OTC_high_N;0-20 cm;Nov 05;0.67;922;1409
China_OTC_high_N;0-20 cm;Apr 06;1;1930;2373
China_OTC_high_N;0-20 cm;Aug 06;1.33;1951;2514
China_OTC_high_N;0-20 cm;Nov 06;1.66;1587;3054
China_OTC_high_N;0-20 cm;Apr 07;2;2015;3030
China_OTC_high_N;0-20 cm;Aug 07;2.33;2273;2725
China_OTC_high_N;0-20 cm;Nov 07;2.66;2187;2702
China_OTC_high_N;0-20 cm;Apr 08;3;3602;3947
China_OTC_high_N;0-20 cm;Aug 08;3.33;3581;4170
China_OTC_high_N;0-20 cm;Nov 08;3.66;3645;4158
FACTS_I;0-15 cm;Aug 96;0;1977;2142
FACTS_I;0-15 cm;oct. 1999;3.17;1902;2208
FACTS_I;0-15 cm;Aug 02;6;2407;2734
FACTS_I;0-15 cm;Aug 06;9;2164;2096
FACTS_II_Aspen;0-10 cm;2001;4;3575;3562
FACTS_II_Aspen;0-10 cm;2003;6;3625;4435
FACTS_II_Aspen;0-10 cm;2004;7;3235;3243
FACTS_II_Aspen;0-10 cm;2005;8;3741;3506
FACTS_II_Aspen;0-10 cm;2006;9;4243;3841
FACTS_II_Aspen;0-10 cm;2007;10;4374;3760
FACTS_II_Aspen;0-10 cm;2008;11;5119;3267
FACTS_II_Aspen_+O3;0-10 cm;2001;4;3193;3199
FACTS_II_Aspen_+O3;0-10 cm;2003;6;3081;3433
FACTS_II_Aspen_+O3;0-10 cm;2004;7;3418;2804
FACTS_II_Aspen_+O3;0-10 cm;2005;8;3886;2890
FACTS_II_Aspen_+O3;0-10 cm;2006;9;4073;3444
FACTS_II_Aspen_+O3;0-10 cm;2007;10;4382;3268
FACTS_II_Aspen_+O3;0-10 cm;2008;11;4783;3141
FACTS_II_Aspen_Birch;0-10 cm;2001;4;3256;3817
FACTS_II_Aspen_Birch;0-10 cm;2003;6;3347;3274
FACTS_II_Aspen_Birch;0-10 cm;2004;7;3408;3457
FACTS_II_Aspen_Birch;0-10 cm;2005;8;3653;3436
FACTS_II_Aspen_Birch;0-10 cm;2006;9;4433;4196
FACTS_II_Aspen_Birch;0-10 cm;2007;10;4125;3832
FACTS_II_Aspen_Birch;0-10 cm;2008;11;3484;3946
FACTS_II_Aspen_Birch_+O3;0-10 cm;2001;4;3305;3121
